2020-04-06 16:50:35 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 16:50:42 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 11.659 seconds (JVM running for 12.363)
2020-04-06 17:22:36 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:25:19 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:25:35 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:30:39 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:30:45 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 11.402 seconds (JVM running for 12.086)
2020-04-06 17:31:25 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:31:42 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:32:05 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:32:09 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 7.931 seconds (JVM running for 95.347)
2020-04-06 17:33:47 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:33:54 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 11.362 seconds (JVM running for 12.038)
2020-04-06 17:34:06 [hystrix-Controller-1] INFO  ms.invoice.controller.Controller - Called endpoint: 'invoiceAll' | Port: '8003'
2020-04-06 17:35:46 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:36:29 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:36:33 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 8.003 seconds (JVM running for 171.106)
2020-04-06 17:36:59 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:37:02 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 7.887 seconds (JVM running for 200.475)
2020-04-06 17:37:59 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:38:07 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 12.301 seconds (JVM running for 13.322)
2020-04-06 17:38:48 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:38:52 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 8.258 seconds (JVM running for 58.234)
2020-04-06 17:39:26 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:39:30 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 8.308 seconds (JVM running for 96.055)
2020-04-06 17:39:39 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:39:43 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 8.176 seconds (JVM running for 109.599)
2020-04-06 17:40:29 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:40:36 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 12.353 seconds (JVM running for 13.188)
2020-04-06 17:42:12 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:42:19 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 12.264 seconds (JVM running for 13.093)
2020-04-06 17:43:48 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:43:52 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 8.328 seconds (JVM running for 105.26)
2020-04-06 17:50:46 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:50:54 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 12.365 seconds (JVM running for 13.19)
2020-04-06 17:54:48 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:54:54 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 11.453 seconds (JVM running for 12.152)
2020-04-06 17:55:14 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - No active profile set, falling back to default profiles: default
2020-04-06 17:55:21 [restartedMain] INFO  ms.invoice.MsInvoiceApplication - Started MsInvoiceApplication in 12.463 seconds (JVM running for 13.29)
